Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000139289	1.6304988333939863	-0.8673511518569642	0.35633793068682623	0.00318878911543611	0.017024444368361383	TRUE
ENSG00000146555	1.6304988333939863	-0.8673511518569642	0.35633793068682623	0.00318878911543611	0.017024444368361383	TRUE
ENSG00000110002	1.6322952698996311	-0.8682800635437915	0.35649055309577066	0.003166678992702391	0.01697912232563824	TRUE
ENSG00000137878	1.6397971540534018	-0.8706417438574299	0.35796280590393925	0.0031681691693587906	0.01697912232563824	TRUE
ENSG00000035928	1.3419103207733236	-0.8708368371412567	0.2901268852778184	0.49817223102277663	NA	NA
ENSG00000099797	2.2120736352630246	-0.8713226481045713	0.34619419234866056	0.09867177086110566	0.18443034313188636	FALSE
ENSG00000200807	1.128985440762944	-0.8713465154963952	0.21552170837452492	0.3929224088919832	NA	NA
ENSG00000141552	2.0003597588052564	-0.8740753746855076	0.38557371655505607	0.004830803520116334	0.02270234357131336	TRUE
ENSG00000126698	1.2108984562111322	-0.8749533934633903	0.27758741283030564	0.8135371436684024	NA	NA
ENSG00000130956	1.4384131396341275	-0.8757354922054396	0.30517422296341973	0.17608903754880256	0.2662098537056425	FALSE
ENSG00000165282	1.1560430234245604	-0.8765700346579952	0.27601422551042093	0.8561339412848976	NA	NA
ENSG00000013275	1.9543493450889098	-0.8773065042116854	0.3822118761228138	0.004481205846400236	0.02150466668461096	TRUE
ENSG00000256806	21.307838005854578	-0.8785916701394271	0.5663177519571488	0.01896331998555121	0.05781733134469303	FALSE
ENSG00000206990	2.035015839058181	-0.8795353576349618	0.37893106109385327	0.004196470184354224	0.020561234893936273	TRUE
ENSG00000054219	1.2660701049495566	-0.8800253656976305	0.26085823203180586	0.5690717730349498	NA	NA
ENSG00000201778	1.2141804043480209	-0.8830285032881784	0.2624708507366051	0.6996632267998859	NA	NA
ENSG00000164066	1.950505977864097	-0.8831325636445111	0.3731110623378974	0.00370191162207691	0.018796042202056766	TRUE
